コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
OlfrJIhLcu4,メイヌー売却論までの流れ【マンチェスターユナイテッド】 #manchesterutd #プレミアリーグ #manchesterutd #kobbiemainoo,"Mar 22, 2025",93,,,,,0,,,,,,,43,0
OxrwrDuFkSs,パトリック・ドルグ加入決定したみたいなので期待値しゃべる(クエンダのおまけつき)【マンチェスターユナイテッド】,"Feb 1, 2025",435,,,,,0,,,,,,,10,0
Q4PrD9TSth4,【ユナイテッド】現スカッドの売却候補,"Dec 15, 2023",1227,,,,,0,,,,,,,2,0
Qv1AAo8N0GU,【試合感想】マンチェスターユナイテッドvsノッティンガムフォレスト,"Aug 27, 2023",1286,,,,,0,,,,,,,4,0
QycvEZGa7dg,喋る事リスト→ビルバオ完封！！！！！！取るぞEL！！！！！！！【マンチェスターユナイテッド】,"May 3, 2025",9079,,,,,0,,,,,,,1,0
RAjIzTNvMvY,【マンチェスターユナイテッド】ヨロスタートか？勝ちたいフォレスト戦,"Dec 7, 2024",140,,,,,0,,,,,,,2,0
RHli0BgMYv8,【マンチェスターユナイテッド】新監督アモリムへの期待値をしゃべりたい,"Nov 24, 2024",325,,,,,0,,,,,,,4,0
S-9kXBtCGdI,モウリーニョが語る、ユナイテッドの問題点,"Dec 20, 2023",645,,,,,0,,,,,,,3,0
SENyWh5M6ks,【マンチェスターユナイテッド】質問:ウガルテは急浮上の案件だったと思うのですが、その信用度はどう思われますか。活躍の安定と確度に関して教えてください #マンチェスターユナイテッド #サッカー #移籍,"Aug 5, 2024",54,,,,,0,,,,,,,3,0
TH8X-WsWY5g,アモリム続投しますかぁ、って世界【マンチェスターユナイテッド】,"Oct 3, 2025",621,,,,,0,,,,,,,138,0
TMh1_Lmzmzo,シェシュコ決まりそうやん何でやねん動画出来てへんって【マンチェスターユナイテッド】,"Aug 6, 2025",7339,,,,,0,,,,,,,8,0
TanUy10DobA,FAカップ準決勝、マンチェスターユナイテッドvsコヴェントリー予想,"Apr 21, 2024",56,,,,,0,,,,,,,8,0
To8Z0Z2QAYA,シーズン後半の期待値は、ELくらい【マンチェスターユナイテッド】,"Feb 22, 2025",527,,,,,0,,,,,,,3,0
UIiHa5FBiL8,【サッカー】スーパーリーグについて喋らせて,"Dec 22, 2023",650,,,,,0,,,,,,,2,0
